Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,Name
43,OTU43,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,JX945349.1.1357,o_SAR11 clade
55,OTU55,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940846.1.1513,f_Surface 1
97,OTU97,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800517.1.1373,f_Surface 1
115,OTU115,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802636.1.1362,f_Surface 1
79,OTU79,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ744916.1.1319,f_Surface 1
114,OTU114,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,GU235302.1.1328,f_Surface 2
75,OTU75,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802929.1.1358,o_SAR11 clade
184,OTU184,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802865.1.1431,f_Surface 1
420,OTU420,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU801209.1.1437,f_Surface 1
72,OTU72,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU801992.1.1230,o_SAR11 clade
86,OTU86,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EF573597.1.1440,o_SAR11 clade
455,OTU455,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,JN177586.1.1440,f_Surface 1
245,OTU245,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,EF572648.1.1451,f_Surface 4
95,OTU95,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU800927.1.1359,g_Candidatus Pelagibacter
137,OTU137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU803056.1.1370,g_uncultured
88,OTU88,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163743.1.1324,f_Surface 1
85,OTU85,Bacteria,Proteobacteria,ARKICE-90,,,,JN832930.1.1413,c_ARKICE-90
1230,OTU1230,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU799228.1.1501,f_SAR86 clade
325,OTU325,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,FN435231.1.1514,o_SAR11 clade
744,OTU744,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU801664.1.1461,o_SAR11 clade
486,OTU486,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FJ745180.1.1374,f_SAR86 clade
229,OTU229,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,FJ745251.1.1308,f_SAR116 clade
140,OTU140,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU801193.1.1360,f_Surface 1
324,OTU324,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU268116.1.1462,f_OCS155 marine group
194,OTU194,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU799628.1.1361,f_Surface 1
278,OTU278,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU237402.1.1311,f_OCS155 marine group
441,OTU441,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800350.1.1365,f_Surface 1
83,OTU83,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,L10934.1.1298,g_Candidatus Pelagibacter
691,OTU691,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU803092.1.1447,f_SAR116 clade
144,OTU144,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,FJ744817.1.1308,g_Candidatus Pelagibacter
109,OTU109,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU802529.1.1481,f_OCS155 marine group
82,OTU82,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,GQ377772.1.1269,g_Synechococcus
117,OTU117,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU235638.1.1322,f_Surface 1
164,OTU164,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU235451.1.1318,f_Surface 1
419,OTU419,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,EU799106.1.1438,f_Surface 2
127,OTU127,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664012.1.1253,g_Synechococcus
231,OTU231,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU268068.1.1427,o_SAR11 clade
175,OTU175,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,FJ745032.1.1322,f_uncultured
168,OTU168,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU802960.1.1455,o_SAR324 clade(Marine group B)
399,OTU399,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,,EU801050.1.1438,f_Chesapeake-Delaware Bay
922,OTU922,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802522.1.1450,o_SAR11 clade
741,OTU741,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU801445.1.1438,f_Surface 1
206,OTU206,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EF572922.1.1449,f_Surface 1
154,OTU154,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800666.1.1372,f_Surface 1
119,OTU119,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,,EU800201.1.1303,f_Chesapeake-Delaware Bay
108,OTU108,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802539.1.1352,f_Surface 1
92,OTU92,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664211.1.1287,g_Synechococcus
1094,OTU1094,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,HQ672069.1.1486,f_JL-ETNP-Y6
327,OTU327,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802790.1.1266,g_Prochlorococcus
590,OTU590,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JQ062792.1.1431,g_Prochlorococcus
346,OTU346,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802515.1.1370,f_Surface 1
1119,OTU1119,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,HQ671769.1.1436,g_Prochlorococcus
342,OTU342,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,KC003178.1.1230,g_Prochlorococcus
548,OTU548,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,JX945359.1.1444,g_Synechococcus
