1378,OTU1378,Archaea,Thaumarchaeota,Sc-EA05,,,,AB193991.1.1443,c_Sc-EA05,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1897,OTU1897,Archaea,Thaumarchaeota,Marine Benthic Group A,,,,AB193994.1.1472,c_Marine Benthic Group A,Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;
560,OTU560,Archaea,Thaumarchaeota,Marine Group I,,,,AB193999.1.1440,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
222,OTU222,Archaea,Thaumarchaeota,Marine Group I,,,,AB194003.1.1440,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1077,OTU1077,Bacteria,Cyanobacteria,Chloroplast,,,,AB199888.1.1217,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
5312,OTU5312,Bacteria,Cyanobacteria,Chloroplast,,,,AB294341.1.1415,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
2387,OTU2387,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AB457051.1.1482,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
142,OTU142,Archaea,Thaumarchaeota,Marine Group I,,,,AB461943.1.1310,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1027,OTU1027,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AB610896.1.1479,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;
1096,OTU1096,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,AB735546.1.1462,g_Salinisphaera,Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera;
1249,OTU1249,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,AEUE01000008.155488.156954,g_Erythrobacter,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;
1808,OTU1808,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AF001653.1.1553,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1337,OTU1337,Bacteria,Cyanobacteria,Chloroplast,,,,AF001654.1.1479,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
2647,OTU2647,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AF045560.1.1449,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
384,OTU384,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AF098371.1.1444,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;
1830,OTU1830,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AF114496.1.1495,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
600,OTU600,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,AF115271.1.1404,g_Prochlorococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;
696,OTU696,Archaea,Thaumarchaeota,Marine Group I,,,,AF121987.1.935,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
2958,OTU2958,Archaea,Thaumarchaeota,Marine Group I,,,,AF121999.1.911,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;
1988,OTU1988,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,AF288157.1.1529,g_Marinobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;
792,OTU792,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,AF354621.1.1477,g_Polaribacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter;
1120,OTU1120,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina,AF355042.1.1473,g_Nitrospina,Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;LS-NOB;
170,OTU170,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,AF382127.1.1491,g_Oceanobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Oleibacter;
545,OTU545,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,AF382130.1.1484,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
528,OTU528,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AF406530.1.1447,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
3716,OTU3716,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,AF418172.1.1547,g_Desulfovibrio,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;
1184,OTU1184,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,AF468351.1.1424,g_Paracoccus,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;
2709,OTU2709,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,AF505725.1.1493,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
1630,OTU1630,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AHCG01000072.3865.5305,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
959,OTU959,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AJ133625.1.1270,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
1696,OTU1696,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,AJ240914.1.1494,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1952,OTU1952,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,AJ294340.1.1296,g_Erythrobacter,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;
2186,OTU2186,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,AJ440215.1.1556,g_Idiomarina,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;
2555,OTU2555,Bacteria,Cyanobacteria,Chloroplast,,,,AJ536466.1.1477,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
