502,OTU502,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ672635.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
1284,OTU1284,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina,HQ672643.1.1480,g_Nitrospina,Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
920,OTU920,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ672646.1.1481,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
942,OTU942,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ672669.1.1446,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1803,OTU1803,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,,HQ672671.1.1502,o_E01-9C-26 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;
1617,OTU1617,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,HQ672684.1.1504,f_JL-ETNP-Y6,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
1925,OTU1925,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,,HQ672701.1.1507,c_Arctic97B-4 marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Arctic97B-4 marine group;
196,OTU196,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ672720.1.1447,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
447,OTU447,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ672746.1.1512,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
445,OTU445,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella,HQ672748.1.1471,g_Marinicella,Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
550,OTU550,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ672778.1.1523,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
740,OTU740,Bacteria,Chloroflexi,SAR202 clade,,,,HQ672793.1.1475,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
416,OTU416,Bacteria,Chloroflexi,SAR202 clade,,,,HQ672805.1.1482,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
431,OTU431,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,HQ672813.1.1446,g_Candidatus Pelagibacter,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
1369,OTU1369,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,HQ672817.1.1480,f_uncultured,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;
367,OTU367,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ672830.1.1436,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
844,OTU844,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ672841.1.1434,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
642,OTU642,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ672861.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
719,OTU719,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ672912.1.1480,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
911,OTU911,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ672972.1.1520,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1204,OTU1204,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ673011.1.1478,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1312,OTU1312,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,,,HQ673034.1.1523,o_BD2-11 terrestrial group,Bacteria;Gemmatimonadota;BD2-11 terrestrial group;
592,OTU592,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673064.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1129,OTU1129,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ673071.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
2384,OTU2384,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673157.1.1513,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
574,OTU574,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ673163.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
597,OTU597,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ673169.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
2578,OTU2578,Bacteria,Fusobacteria,Fusobacteriia,BS1-0-74,,,HQ673183.1.1490,o_BS1-0-74,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
432,OTU432,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ673228.1.1451,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1224,OTU1224,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673241.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
410,OTU410,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673270.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1340,OTU1340,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ673353.1.1476,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
1558,OTU1558,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Arenicella,HQ673364.1.1501,g_Arenicella,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;
713,OTU713,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673390.1.1528,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1016,OTU1016,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,HQ673396.1.1435,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1469,OTU1469,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,HQ673528.1.1465,f_SAR116 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;
1057,OTU1057,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ673536.1.1466,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1420,OTU1420,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured,HQ673550.1.1502,g_uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;uncultured;
521,OTU521,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,HQ673566.1.1504,g_ZD0417 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
1289,OTU1289,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,HQ673647.1.1492,g_NS2b marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS2b marine group;
1055,OTU1055,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ673652.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1168,OTU1168,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,HQ673682.1.1487,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
944,OTU944,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673691.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
797,OTU797,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ673710.1.1445,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
836,OTU836,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673734.1.1524,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1481,OTU1481,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673737.1.1489,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1246,OTU1246,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,HQ673742.1.1447,g_AEGEAN-169 marine group,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN-169 marine group;
546,OTU546,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ673764.1.1437,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
1278,OTU1278,Bacteria,Proteobacteria,AEGEAN-245,,,,HQ673776.1.1505,c_AEGEAN-245,Bacteria;Proteobacteria;Gammaproteobacteria;HgCo23;
787,OTU787,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ673808.1.1478,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
1158,OTU1158,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673826.1.1508,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
356,OTU356,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673841.1.1523,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
734,OTU734,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ673846.1.1521,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1195,OTU1195,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ673860.1.1468,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
451,OTU451,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ673882.1.1474,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
405,OTU405,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ673904.1.1436,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
806,OTU806,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ673908.1.1463,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
380,OTU380,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ673916.1.1435,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
331,OTU331,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ673941.1.1251,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
882,OTU882,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ673968.1.1448,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
626,OTU626,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ673984.1.1259,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1912,OTU1912,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ673994.1.1476,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
796,OTU796,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674035.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
827,OTU827,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ674037.1.1480,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
986,OTU986,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ674102.1.1479,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
607,OTU607,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674105.1.1523,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
960,OTU960,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,HQ674116.1.1437,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
917,OTU917,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,HQ674120.1.1448,o_SAR11 clade,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
494,OTU494,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ674163.1.1495,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1304,OTU1304,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,,HQ674189.1.1476,f_Sva0996 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
941,OTU941,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ674207.1.1447,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
783,OTU783,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,,,HQ674222.1.1525,o_BD2-11 terrestrial group,Bacteria;Gemmatimonadota;BD2-11 terrestrial group;
702,OTU702,Bacteria,Chloroflexi,SAR202 clade,,,,HQ674232.1.1463,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1041,OTU1041,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ674234.1.1446,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1732,OTU1732,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,HQ674248.1.1463,g_Defluviicoccus,Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;
829,OTU829,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ674255.1.1433,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1235,OTU1235,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Arenicella,HQ674256.1.1502,g_Arenicella,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;
2008,OTU2008,Bacteria,Chloroflexi,SAR202 clade,,,,HQ674260.1.1476,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1336,OTU1336,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,,HQ674261.1.1518,o_E01-9C-26 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;
992,OTU992,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,,HQ674271.1.1518,o_E01-9C-26 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;
372,OTU372,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674329.1.1524,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
135,OTU135,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674365.1.1523,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
2111,OTU2111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira,HQ674482.1.1462,g_Magnetospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;
613,OTU613,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ674511.1.1435,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1618,OTU1618,Bacteria,Chloroflexi,SAR202 clade,,,,HQ674551.1.1463,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1008,OTU1008,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674572.1.1522,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
552,OTU552,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ674579.1.1521,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
472,OTU472,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ674623.1.1540,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
3470,OTU3470,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,HQ696463.1.1494,g_Clostridium,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caminicellaceae;Paramaledivibacter;
4410,OTU4410,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,HQ754131.1.1450,g_Leptothrix,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ideonella;
2190,OTU2190,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,JF173531.1.1357,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
3519,OTU3519,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,JF268251.1.1423,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
1068,OTU1068,Archaea,Thaumarchaeota,Marine Group I,,,,JF268338.1.1346,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
2655,OTU2655,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Gramella,JF421212.1.1492,g_Gramella,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gramella;
2056,OTU2056,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Owenweeksia,JF421214.1.1484,g_Owenweeksia,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus;
520,OTU520,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,,JF747664.1.1516,o_E01-9C-26 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;
1217,OTU1217,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,JN018915.1.1419,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
852,OTU852,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira,JN018991.1.1360,g_Magnetospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;uncultured;
283,OTU283,Bacteria,Cyanobacteria,Chloroplast,,,,JN166197.1.1454,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1140,OTU1140,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,,,JN166233.1.1526,o_BD2-11 terrestrial group,Bacteria;Gemmatimonadota;BD2-11 terrestrial group;
1936,OTU1936,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula,JN166243.1.1480,g_Rhodopirellula,Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
425,OTU425,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,,JN166247.1.1530,c_Arctic97B-4 marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Arctic97B-4 marine group;
1511,OTU1511,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,OM182 clade,,JN166254.1.1500,f_OM182 clade,Bacteria;Proteobacteria;Gammaproteobacteria;OM182 clade;
1295,OTU1295,Bacteria,Chloroflexi,SAR202 clade,,,,JN166305.1.1465,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
2044,OTU2044,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira,JN166309.1.1461,g_Magnetospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospira;
1910,OTU1910,Bacteria,Chloroflexi,SAR202 clade,,,,JN166337.1.1461,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1688,OTU1688,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum,JN166361.1.1514,g_Pseudospirillum,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;
1947,OTU1947,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade DC5-80-3 lineage,JN177592.1.1446,g_Roseobacter clade DC5-80-3 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;
2003,OTU2003,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade DC5-80-3 lineage,JN177595.1.1444,g_Roseobacter clade DC5-80-3 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;
1531,OTU1531,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade DC5-80-3 lineage,JN177596.1.1444,g_Roseobacter clade DC5-80-3 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;
1709,OTU1709,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade DC5-80-3 lineage,JN177647.1.1439,g_Roseobacter clade DC5-80-3 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;
1838,OTU1838,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,JN177654.1.1494,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
2948,OTU2948,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,JN233006.1.1447,g_Formosa,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;
348,OTU348,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,JN233016.1.1438,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1705,OTU1705,Bacteria,Chloroflexi,SAR202 clade,,,,JN233054.1.1435,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1822,OTU1822,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Ponticaulis,JN233106.1.1375,g_Ponticaulis,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Ponticaulis;
2295,OTU2295,Bacteria,Chloroflexi,SAR202 clade,,,,JN233131.1.1427,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
1206,OTU1206,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,uncultured,JN233132.1.1477,g_uncultured,Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;uncultured;
291,OTU291,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,JN233157.1.1397,f_Surface 2,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
994,OTU994,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,JN233527.1.1440,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
116,OTU116,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JN547438.1.1447,g_Prochlorococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;
61,OTU61,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JN547444.1.1442,g_Prochlorococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Prochlorococcus MIT9313;
155,OTU155,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,JN547476.1.1428,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
1200,OTU1200,Archaea,Thaumarchaeota,Marine Group I,,,,JN563792.1.917,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
